Location,Year,Municipality Population-- do not change or edit - click to see definition,Direct Circ,Total Appropriated Municipal Income--Operating,1 Total number of adult programs,2 Total attendance at all adult programs,3 Total number of Young Adult programs,4 Total attendance at YA programs,5 Total number of children's programs,6 Total Attendance at all Children's Programs,7 Total Number of Programs,8 Total Attendance at All Programs,ILL Received,ILL Provided,Visitors,1 Number of public use Internet computers available in the library (including children's area) and its branches and bookmobiles,Number of Users of Public Internet Computers Per Year - IMLS
Boston - Boston Public Library,2016,"645,966","4,782,943","$34,092,573","5,825","78,757","1,156","8,764","8,764","141,438","15,745","228,959","7,626","11,642","3,540,693",585,"572,000"
Worcester - Worcester Public Library,2016,"182,544","963,031","$5,392,452",593,"4,364",131,792,750,"16,640","1,474","21,796","61,281","77,618","707,913",204,
Springfield - Springfield City Library,2016,"153,703","549,789","$5,950,558",877,"15,039",607,"5,257","3,515","47,052","4,999","67,348","42,171","90,691","714,615",161,"64,220"
Lowell - Samuel S. Pollard Memorial Library,2016,"108,861","188,246","$1,268,875",434,"4,739",100,"1,331",202,"7,732",736,"13,802","38,345","29,528",,48,"39,416"
Cambridge - Cambridge Public Library,2016,"107,289","1,610,055","$9,742,357",665,"28,489",70,821,"1,188","52,008","1,923","81,318","196,491","132,028","960,423",111,"166,400"
New Bedford - New Bedford Free Public Library,2016,"95,078","264,252","$2,153,231",205,"1,175",165,"1,266",219,"1,716",589,"4,157","59,386","46,465","248,585",61,"84,864"
Brockton - Brockton Public Library System,2016,"94,089","179,213","$2,372,466",128,"1,533",38,539,126,"3,770",292,"5,842","24,388","28,900","166,227",58,"28,184"
Quincy - Thomas Crane Public Library,2016,"93,494","767,009","$3,127,672",866,"11,695",111,"1,345",531,"18,299","1,508","31,339","41,953","32,407","697,115",80,"113,412"
Lynn - Lynn Public Library,2016,"91,589","127,208","$999,123",70,424,183,"2,280",296,"9,500",549,"12,204","14,311","10,445","297,897",23,"42,900"
Fall River - Fall River Public Library,2016,"88,697","155,858","$992,396",163,"1,995",,,333,"8,434",496,"10,429","36,192","21,901","183,856",28,"21,996"
Newton - Newton Free Library,2016,"87,971","1,649,162","$5,554,765",664,"14,782",185,"3,364","1,579","37,626","2,428","55,772","155,511","154,402","702,314",45,"35,100"
Somerville - Somerville Public Library,2016,"78,804","354,339","$2,012,627",266,"3,439",37,412,384,"11,906",687,"15,757","63,342","42,473","311,921",38,"43,784"
Lawrence - Lawrence Public Library,2016,"77,657","130,576","$980,756",64,970,0,0,674,"18,182",738,"19,152","7,720","15,921","59,523",39,"52,260"
Framingham - Framingham Public Library,2016,"70,441","492,762","$3,039,418",234,"9,056",29,"1,221",424,"13,994",687,"24,271","61,335","45,040","306,958",68,"82,472"
Waltham - Waltham Public Library,2016,"62,227","435,485","$2,593,427",150,"1,050",83,975,308,"6,156",541,"8,181","47,347","54,673","247,264",37,"60,320"
Haverhill - Haverhill Public Library,2016,"62,088","348,362","$1,245,480",229,"2,649",89,751,309,"4,448",627,"7,848","46,298","50,074","282,232",42,"48,880"
Malden - Malden Public Library,2016,"60,509","383,360","$1,383,375",174,"4,096",41,605,191,"10,761",406,"15,462","29,480","49,280","370,224",14,"34,580"
Brookline - Brookline Public Library,2016,"59,128","1,152,953","$3,878,339",434,"8,254",84,"2,177",825,"24,283","1,343","34,714","165,956","131,625","605,489",64,"104,000"
Plymouth - Plymouth Public Library,2016,"57,826","332,828","$1,639,157",281,"4,771",34,158,291,"6,038",606,"10,967","34,787","22,903","198,941",23,"25,740"
Medford - Medford Public Library,2016,"57,170","244,271","$1,362,549",121,"1,527",136,745,434,"9,788",691,"12,060","40,705","37,489",,10,"27,040"
Taunton - Taunton Public Library,2016,"56,069","177,669","$1,244,965",26,922,0,0,282,"11,869",308,"12,791","35,358","35,180",,22,"57,564"
Chicopee - Chicopee Public Library,2016,"55,717","358,531","$1,642,339",403,"7,995",82,"1,506",257,"13,855",742,"23,356","36,059","31,107","243,729",64,"70,564"
Weymouth - Tufts Library,2016,"55,419","318,201","$1,465,441",75,"3,695",89,"1,295",312,"8,079",476,"13,069","27,848","27,693",,9,
Revere - Revere Public Library,2016,"53,756","31,000","$569,119",6,71,0,0,156,"2,176",162,"2,247","6,196","2,138","21,463",32,"23,400"
Peabody - Peabody Institute Library,2016,"52,044","211,978","$1,777,343",970,"7,231",438,"6,495",406,"4,595","1,814","18,321","24,724","23,437","266,748",43,"43,680"
Methuen - Nevins Memorial Library,2016,"48,514","209,934","$1,201,599",670,"9,364",70,299,319,"11,261","1,059","20,924","37,923","31,122","141,530",25,"31,772"
Barnstable - Sturgis Library,2016,"44,641","75,101","$232,046",79,"2,023",6,80,91,"3,395",176,"5,498","12,560","13,389","61,595",11,"15,600"
Barnstable - Whelden Memorial Library,2016,"44,641","32,044","$105,301",20,273,3,35,116,"1,859",139,"2,167","8,590","8,208","22,500",3,"3,120"
Barnstable - Hyannis Public Library Association,2016,"44,641","119,747","$463,458",47,647,4,78,271,"3,266",322,"3,991","14,405","14,771","81,441",16,"10,400"
Barnstable - Marstons Mills Public Library,2016,"44,641","109,371","$187,752",385,"5,125",38,357,152,"2,120",575,"7,602","14,632","14,632",,8,"4,836"
Barnstable - Centerville Public Library,2016,"44,641","92,151","$317,926",806,"13,794",3,28,188,"2,597",997,"16,419","11,355","10,789","151,027",16,
Barnstable - Osterville Free Library,2016,"44,641","75,782","$243,852",192,"6,567",0,0,193,"4,654",385,"11,221","13,276","12,936","76,729",17,"8,320"
Barnstable - Cotuit Library,2016,"44,641","40,666","$163,653",359,"4,232",0,0,184,"2,002",543,"6,234","11,607","10,115","44,021",16,"3,692"
Pittsfield - Berkshire Athenaeum,2016,"44,057","230,790","$998,666",86,"1,568",5,68,120,"3,577",211,"5,213","33,994","22,541","276,307",30,"36,400"
Arlington - Robbins Library,2016,"44,028","756,226","$2,257,065",140,"2,290",77,605,436,"25,967",653,"28,862","87,777","57,900","296,367",46,"46,644"
Attleboro - Attleboro Public Library,2016,"43,886","186,343","$1,108,816",166,"2,351",78,928,185,"7,113",429,"10,392","51,698","26,059","215,878",15,"18,928"
Everett - Everett Public Libraries,2016,"42,935","103,318","$990,476",17,165,107,664,192,"2,314",316,"3,143","11,341","22,893",,33,"37,752"
Salem - Salem Public Library,2016,"42,544","370,320","$1,241,691",36,326,15,157,257,"5,059",308,"5,542","31,085","30,290","180,373",20,"29,640"
Billerica - Billerica Public Library,2016,"41,888","263,469","$1,471,819",91,"1,724",37,"2,542",356,"12,749",484,"17,015","31,873","42,678","157,924",25,"18,460"
Westfield - Westfield Athenaeum,2016,"41,301","248,873","$882,100",71,"1,876",52,518,215,"4,726",338,"7,120","27,342","22,432","171,666",19,"26,000"
Leominster - Leominster Public Library,2016,"41,002","278,417","$1,330,782",175,"3,248",38,"1,087",286,"11,207",499,"15,542","30,819","38,207","248,709",19,"40,820"
Beverly - Beverly Public Library,2016,"40,664","399,305","$1,940,574",79,"1,486",50,"1,176",414,"10,322",543,"12,984","36,025","31,940","211,724",31,"54,600"
Fitchburg - Fitchburg Public Library,2016,"40,383","118,007","$731,892",91,749,26,183,401,"6,227",518,"7,159","15,662","23,545",,22,"31,200"
Holyoke - Holyoke Public Library,2016,"40,249","78,012","$609,835",19,388,2,11,409,"6,310",430,"6,709","7,766","16,368","113,069",46,"36,452"
Marlborough - Marlborough Public Library,2016,"39,414","234,911","$941,382",139,"1,428",116,499,263,"4,726",518,"6,653","26,809","17,907",,18,"30,784"
Woburn - Woburn Public Library,2016,"39,083","182,036","$1,112,998",38,"1,626",0,0,130,"6,023",168,"7,649","24,419","28,268","122,997",6,"15,704"
Amherst - Jones Library,2016,"38,919","480,849","$1,833,246",239,"6,883",80,"2,828",338,"4,884",657,"14,595",611,241,"305,629",36,"37,544"
Chelsea - Chelsea Public Library,2016,"37,670","71,930","$300,712",10,85,3,85,125,"5,777",138,"5,947","12,962","8,146",,18,"23,400"
Braintree - Thayer Public Library,2016,"36,727","352,638","$1,496,378",231,"4,133",93,"1,252",175,"4,887",499,"10,272","70,403","66,083","409,940",25,"23,920"
Shrewsbury - Shrewsbury Free Public Library,2016,"36,309","355,912","$1,154,998",304,"2,001",52,597,236,"4,990",592,"7,588","37,303","18,884","168,703",13,"9,620"
Natick - Morse Institute Library,2016,"35,214","507,185","$2,204,790",436,"6,888",70,822,256,"7,325",762,"15,035","63,892","74,677","303,537",22,"25,324"
Natick - Bacon Free Library,2016,"35,214","35,602","$155,964",220,"2,922",,,430,"5,475",650,"8,397","6,364","7,349","30,933",1,"1,560"
Chelmsford - Chelmsford Public Library,2016,"34,722","453,489","$1,860,752",477,"7,012",55,173,419,"14,845",951,"22,030","91,715","51,259","279,749",47,"56,056"
Dartmouth - Dartmouth Public Libraries,2016,"34,557","313,871","$1,189,147",23,696,7,37,145,"4,951",175,"5,684","39,900","56,560","158,388",20,"15,912"
Andover - Memorial Hall Library,2016,"34,477","527,719","$2,686,212",286,"8,185",216,"1,807",788,"22,222","1,290","32,214","101,960","84,995","353,600",45,"47,060"
Randolph - Turner Free Library,2016,"33,456","171,966","$941,924",230,"1,709",143,"1,944",354,"3,497",727,"7,150","13,438","33,189","176,842",19,"38,272"
Watertown - Watertown Free Public Library,2016,"32,996","646,595","$2,600,854",271,"5,465",199,"2,169",506,"17,327",976,"24,961","70,094","57,988","411,100",123,"71,084"
Lexington - Cary Memorial Library,2016,"32,650","853,788","$2,437,521",35,"1,566",74,"2,337",507,"16,700",616,"20,603","102,073","62,915","542,025",21,"31,928"
Franklin - Franklin Public Library,2016,"32,581","246,646","$690,996",29,549,38,509,309,"10,032",376,"11,090","35,696","37,893","213,571",13,"18,200"
Falmouth - Woods Hole Public Library,2016,"31,644","24,993","$19,313",138,"3,288",10,70,95,"2,300",243,"5,658","5,100","7,819",,2,"1,560"
Falmouth - Falmouth Public Library,2016,"31,644","418,931","$1,808,834",306,"5,437",33,355,407,"9,748",746,"15,540","56,416","35,317","353,310",52,"31,824"
"Falmouth - West Falmouth Library, Inc.",2016,"31,644","26,080","$19,313",215,"2,749",1,17,176,"3,368",392,"6,134","6,597","6,597","11,141",4,"1,092"
Dracut - Moses Greeley Parker Memorial Library,2016,"30,687","199,886","$793,763",144,"1,918",40,363,219,"4,510",403,"6,791","26,589","26,869","211,522",18,"17,680"
Tewksbury - Tewksbury Public Library,2016,"30,107","218,615","$1,041,446",277,"7,742",143,"2,749",382,"12,544",802,"23,035","29,372","26,998","138,248",26,"15,548"
Needham - Needham Free Public Library,2016,"29,736","515,524","$1,578,602",69,"4,989",122,"1,588",379,"14,311",570,"20,888","66,390","61,613","343,858",29,"39,000"
Gloucester - Gloucester Lyceum & Sawyer Free Library,2016,"29,393","163,445","$864,830",76,"1,813",20,168,373,"7,354",469,"9,335","19,642","16,084","160,419",28,"22,412"
North Andover - Stevens Memorial Library,2016,"29,217","189,186","$974,850",140,"1,501",9,480,271,"5,094",420,"7,075","37,837","19,140","185,589",27,"27,040"
Wellesley - Wellesley Free Library,2016,"29,090","739,316","$2,351,898",559,"6,929",75,"1,098",570,"23,290","1,204","31,317","57,309","124,410","335,190",103,"99,216"
Norwood - Morrill Memorial Library,2016,"28,951","265,878","$1,628,169",224,"4,126",8,102,259,"5,902",491,"10,130","36,324","38,103","154,148",15,"24,232"
North Attleborough - Richards Memorial Library,2016,"28,801","94,215","$553,396",76,801,0,0,155,"2,436",231,"3,237","29,508","14,619","80,339",6,"14,092"
Agawam - Agawam Public Library,2016,"28,705","264,311","$1,050,854",120,"1,560",38,326,245,"5,179",403,"7,065","25,774","26,561","167,342",25,"23,400"
West Springfield - West Springfield Public Library,2016,"28,684","139,444","$852,658",83,605,43,878,238,"6,906",364,"8,389","13,573","15,905","104,544",46,"35,100"
Northampton - Forbes Library,2016,"28,495","321,965","$1,197,638",670,"11,079",43,283,"1,126","19,523","1,839","30,885","38,693","30,649","235,462",28,"33,592"
Northampton - Lilly Library,2016,"28,495","135,125","$296,197",35,235,51,136,150,"2,482",236,"2,853","26,175","6,846","76,128",10,
Milford - Milford Town Library,2016,"28,288","175,636","$1,160,485",159,"1,922",353,"3,347",187,"5,405",699,"10,674","18,870","31,181","170,658",18,"19,812"
Stoughton - Stoughton Public Library,2016,"28,106","148,425","$1,061,668",356,"2,322",126,"1,765",299,"10,299",781,"14,386","18,623","27,969","150,537",14,"14,664"
Saugus - Saugus Public Library,2016,"27,735","105,839","$609,317",25,208,8,129,523,"10,494",556,"10,831","11,523","15,298","97,981",16,"12,688"
Melrose - Melrose Public Library,2016,"27,690","293,285","$950,775",108,"1,598",30,214,208,"10,472",346,"12,284","36,643","13,872","189,030",27,"30,576"
Danvers - Peabody Institute Library,2016,"27,483","196,444","$1,329,335",117,"1,798",20,795,161,"8,921",298,"11,514","21,562","23,705",,21,"23,192"
Milton - Milton Public Library,2016,"27,270","294,670","$1,380,529",82,"1,999",38,469,414,"13,483",534,"15,951","34,011","43,829","242,269",30,"36,088"
Bridgewater - Bridgewater Public Library,2016,"26,506","108,159","$543,116",44,"1,137",0,0,187,"3,601",231,"4,738","28,682","25,943","70,305",10,"9,672"
Wakefield - Lucius Beebe Memorial Library,2016,"26,080","313,430","$1,460,674",232,"3,664",192,"2,920",353,"13,364",777,"19,948","22,187","21,572","275,317",26,"50,388"
Marshfield - Ventress Memorial Library,2016,"25,509","192,015","$694,991",251,"3,020",30,229,250,"4,063",531,"7,312","18,409","13,424",,12,"22,464"
Burlington - Burlington Public Library,2016,"25,463","277,987","$1,404,749",80,"1,337",78,476,313,"7,765",471,"9,578","34,909","37,507","148,694",15,"25,740"
Belmont - Belmont Public Library,2016,"25,332","556,562","$2,142,464",139,"2,517",75,"1,819",336,"12,890",550,"17,226","65,449","49,787","259,539",18,"21,528"
